id	directions_proven	argument_schema_recovered	panel_applicability	ghidra_evidence_locator	confidence
210	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayShutdownFlag; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108376:id=210	direction=high;packing=high;handler-schema=medium;panel=unknown
211	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayFpType; first-value/pointer | get out:std::vector<u32>* -> GetDisplayFpType	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108378:id=211;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@0010858a:id=211	direction=high;packing=high;handler-schema=medium;panel=unknown
212	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetCwbSupportStatus	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@0010858c:id=212	direction=high;packing=high;handler-schema=medium;panel=unknown
213	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayFakeAOD; first-value/pointer | get out:std::vector<u32>* -> GetDisplayFakeAOD	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@0010837c:id=213;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@0010858e:id=213	direction=high;packing=high;handler-schema=medium;panel=unknown
214	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplayPanelType	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108590:id=214	direction=high;packing=high;handler-schema=medium;panel=unknown
215	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> setDisplayHwcFrameDump; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108380:id=215	direction=high;packing=high;handler-schema=medium;panel=unknown
216	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelHbmMax; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelHbmMax	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108382:id=216;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108594:id=216	direction=high;packing=high;handler-schema=medium;panel=unknown
217	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayLongruiAOD; first-value/pointer | get out:std::vector<u32>* -> GetDisplayLongruiAOD	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108384:id=217;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108596:id=217	direction=high;packing=high;handler-schema=medium;panel=unknown
218	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelMipiErrCheck; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelMipiErrCheck	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108386:id=218;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108598:id=218	direction=high;packing=high;handler-schema=medium;panel=unknown
219	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelCompensate; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108388:id=219	direction=high;packing=high;handler-schema=medium;panel=unknown
220	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetCompensateMonth; count-forwarded	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@0010838a:id=220	direction=high;packing=high;handler-schema=medium;panel=unknown
221	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelEsdStatus; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelEsdStatus	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@0010838c:id=221;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@0010859e:id=221	direction=high;packing=high;handler-schema=medium;panel=unknown
222	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelCrcCheck; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelCrcCheck	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@0010838e:id=222;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001085a0:id=222	direction=high;packing=high;handler-schema=medium;panel=unknown
225	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> setFossParam; count-forwarded	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108394:id=225	direction=high;packing=high;handler-schema=medium;panel=unknown
226	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetUirEnable; count-forwarded	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108396:id=226	direction=high;packing=high;handler-schema=medium;panel=unknown
227	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetUirMode; count-forwarded	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108398:id=227	direction=high;packing=high;handler-schema=medium;panel=unknown
228	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetGameDarkEyeProtect; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@0010839a:id=228	direction=high;packing=high;handler-schema=medium;panel=unknown
232	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> setAdfr2MinfpsParam; count-forwarded	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083a2:id=232	direction=high;packing=high;handler-schema=medium;panel=unknown
233	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplayAdfr2minfpsState	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001085b6:id=233	direction=high;packing=high;handler-schema=medium;panel=unknown
234	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> setRusUpdateParam; count-forwarded	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083a6:id=234	direction=high;packing=high;handler-schema=medium;panel=unknown
235	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> setPanelDdicScaleUpSta; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083a8:id=235	direction=high;packing=high;handler-schema=medium;panel=unknown
236	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayDemuraRusDbvGain; count-forwarded	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083aa:id=236	direction=high;packing=high;handler-schema=medium;panel=unknown
239	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> shared-control-flow; first-value/pointer | get out:std::vector<u32>* -> GetDisplayDemuraFeature	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083b0:id=239;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001085c2:id=239	direction=high;packing=high;handler-schema=medium;panel=unknown
240	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> shared-control-flow; first-value/pointer | get out:std::vector<u32>* -> GetDisplayDemuraInit	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083b2:id=240;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001085c4:id=240	direction=high;packing=high;handler-schema=medium;panel=unknown
241	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayDemuraState; first-value/pointer | get out:std::vector<u32>* -> GetDisplayDemuraState	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083b4:id=241;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001085c6:id=241	direction=high;packing=high;handler-schema=medium;panel=unknown
242	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayDemuraConfig; first-value/pointer | get out:std::vector<u32>* -> GetDisplayDemuraConfig	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083b6:id=242;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001085c8:id=242	direction=high;packing=high;handler-schema=medium;panel=unknown
243	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayDemuraBinsNull; first-value/pointer | get out:std::vector<u32>* -> GetDisplayDemuraBinsNull	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083b8:id=243;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001085ca:id=243	direction=high;packing=high;handler-schema=medium;panel=unknown
245	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> setAutoBrightnessStatus; count-forwarded	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083bc:id=245	direction=high;packing=high;handler-schema=medium;panel=unknown
246	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayAeevFatalUnderrun; first-value/pointer | get out:std::vector<u32>* -> GetDisplayAeevFatalUnderrun	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083be:id=246;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001085d0:id=246	direction=high;packing=high;handler-schema=medium;panel=unknown
247	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> shared-control-flow; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083c0:id=247	direction=high;packing=high;handler-schema=medium;panel=unknown
249	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetReduceWhitePointStatus; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083c4:id=249	direction=high;packing=high;handler-schema=medium;panel=unknown
250	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplayPanelIgnoreMode	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001085d8:id=250	direction=high;packing=high;handler-schema=medium;panel=unknown
252	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDMREnable; count-forwarded	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083ca:id=252	direction=high;packing=high;handler-schema=medium;panel=unknown
253	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> inline-state; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083cc:id=253	direction=high;packing=high;handler-schema=medium;panel=unknown
254	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelFCDMRSN; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083ce:id=254	direction=high;packing=high;handler-schema=medium;panel=unknown
255	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDsrState; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083d0:id=255	direction=high;packing=high;handler-schema=medium;panel=unknown
256	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetCountingEnable; count-forwarded	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083d2:id=256	direction=high;packing=high;handler-schema=medium;panel=unknown
257	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> shared-control-flow; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083d4:id=257	direction=high;packing=high;handler-schema=medium;panel=unknown
258	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetCountingFreq; count-forwarded	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083d6:id=258	direction=high;packing=high;handler-schema=medium;panel=unknown
259	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetCwbRgbValue	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001085ea:id=259	direction=high;packing=high;handler-schema=medium;panel=unknown
260	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDynamicFloatTE; first-value/pointer | get out:std::vector<u32>* -> GetDynamicFloatTE	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083da:id=260;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001085ec:id=260	direction=high;packing=high;handler-schema=medium;panel=unknown
261	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetPrintXlog; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083dc:id=261	direction=high;packing=high;handler-schema=medium;panel=unknown
263	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayLowPwmAOD; first-value/pointer | get out:std::vector<u32>* -> GetDisplayLowPwmAOD	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083e0:id=263;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001085f2:id=263	direction=high;packing=high;handler-schema=medium;panel=unknown
264	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplayPulseState	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001085f4:id=264	direction=high;packing=high;handler-schema=medium;panel=unknown
265	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> setPulseParam; count-forwarded	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001083e4:id=265	direction=high;packing=high;handler-schema=medium;panel=unknown
